log_id,service,level,message_code,timestamp
LOG600038,payments-api,ERROR,DB_CONN_FAILURE,2026-07-18 08:15:48.275663
LOG600039,ledger-svc,INFO,APP_START,2026-06-17 21:16:16.702549
LOG600040,payments-api,INFO,REQUEST_OK,2026-03-17 01:07:52.587743
LOG600041,notification-svc,INFO,CACHE_HIT,2026-04-12 23:55:48.316896
LOG600042,auth-service,INFO,APP_START,2026-05-05 05:56:00.264727
LOG600043,kyc-service,WARN,RETRY_ATTEMPT,2026-03-27 19:14:17.798657
LOG600044,payments-api,INFO,CACHE_HIT,2026-06-21 11:58:00.742427
LOG600045,notification-svc,INFO,CACHE_HIT,2026-03-13 00:34:49.624397
LOG600046,auth-service,ERROR,AUTH_FAILURE,2026-03-30 06:28:46.086194
LOG600047,ledger-svc,INFO,REQUEST_OK,2026-05-23 01:14:25.848802
LOG600048,core-banking,WARN,CACHE_MISS,2026-04-14 11:42:02.497593
LOG600049,payments-api,INFO,CACHE_HIT,2026-08-03 22:57:03.010989
LOG600050,notification-svc,ERROR,TIMEOUT,2026-08-09 02:43:24.600399
LOG600051,core-banking,INFO,REQUEST_OK,2026-07-05 06:59:27.345025
LOG600052,core-banking,INFO,CACHE_HIT,2026-05-29 18:08:49.489881
LOG600053,notification-svc,INFO,REQUEST_OK,2026-06-16 06:01:20.992538
LOG600054,ledger-svc,INFO,REQUEST_OK,2026-05-21 22:48:33.451629
LOG600055,ledger-svc,INFO,REQUEST_OK,2026-03-02 04:14:18.151000
LOG600056,core-banking,INFO,APP_START,2026-06-27 06:15:56.820356
LOG600057,payments-api,INFO,REQUEST_OK,2026-03-30 15:22:06.105018
LOG600058,ledger-svc,INFO,CACHE_HIT,2026-04-26 19:44:14.559136
LOG600059,core-banking,INFO,REQUEST_OK,2026-03-20 21:23:16.646903
LOG600060,notification-svc,WARN,RETRY_ATTEMPT,2026-08-19 03:16:50.195885
LOG600061,payments-api,INFO,CACHE_HIT,2026-07-18 02:13:59.166997
LOG600062,payments-api,WARN,SLOW_QUERY,2026-04-21 10:05:29.458417
LOG600063,core-banking,INFO,CACHE_HIT,2026-08-19 20:38:31.051432
LOG600064,notification-svc,INFO,REQUEST_OK,2026-03-07 00:23:33.701950
LOG600065,kyc-service,INFO,REQUEST_OK,2026-05-14 07:07:33.035305
LOG600066,auth-service,ERROR,TIMEOUT,2026-05-25 17:29:20.307595
LOG600067,notification-svc,INFO,REQUEST_OK,2026-05-29 17:55:47.731161
LOG600068,kyc-service,WARN,SLOW_QUERY,2026-06-06 11:45:46.526187
LOG600069,kyc-service,INFO,CACHE_HIT,2026-07-08 17:08:48.285974
LOG600070,notification-svc,INFO,CACHE_HIT,2026-07-06 21:51:29.516585
LOG600071,ledger-svc,WARN,SLOW_QUERY,2026-05-10 10:45:10.089437
LOG600072,notification-svc,INFO,REQUEST_OK,2026-04-21 07:33:01.105338
LOG600073,auth-service,WARN,SLOW_QUERY,2026-08-11 17:52:31.125932
LOG600074,payments-api,INFO,APP_START,2026-06-20 21:20:42.016763
LOG600075,kyc-service,INFO,APP_START,2026-04-16 22:27:25.564377
LOG600076,core-banking,INFO,CACHE_HIT,2026-08-09 00:05:01.098174
LOG600077,auth-service,INFO,APP_START,2026-05-14 04:25:09.667795
LOG600078,auth-service,WARN,SLOW_QUERY,2026-06-22 09:34:37.473824
LOG600079,payments-api,WARN,SLOW_QUERY,2026-06-02 02:49:31.326514
LOG600080,core-banking,INFO,REQUEST_OK,2026-03-26 21:37:04.313700
LOG600081,core-banking,INFO,REQUEST_OK,2026-08-02 21:18:18.654072
LOG600082,auth-service,INFO,REQUEST_OK,2026-06-29 04:40:31.539835
LOG600083,core-banking,INFO,APP_START,2026-05-23 12:18:08.868160
LOG600084,kyc-service,INFO,APP_START,2026-05-10 10:57:56.224796
LOG600085,core-banking,INFO,APP_START,2026-07-25 20:25:31.021420
LOG600086,core-banking,INFO,APP_START,2026-08-17 07:25:56.322556
LOG600087,notification-svc,INFO,APP_START,2026-04-11 03:53:21.058088
LOG600088,auth-service,INFO,APP_START,2026-04-17 22:04:55.153755
LOG600089,core-banking,INFO,APP_START,2026-04-14 16:49:31.779728
LOG600090,ledger-svc,ERROR,UPSTREAM_TIMEOUT,2026-05-05 03:35:52.303947
LOG600091,ledger-svc,INFO,APP_START,2026-07-08 16:54:40.661712
LOG600092,payments-api,INFO,REQUEST_OK,2026-04-15 03:27:33.840467
LOG600093,notification-svc,INFO,CACHE_HIT,2026-06-03 11:46:47.013626
LOG600094,core-banking,INFO,CACHE_HIT,2026-03-04 05:19:46.782664
LOG600095,payments-api,WARN,SLOW_QUERY,2026-07-19 00:01:29.016522
LOG600096,core-banking,INFO,REQUEST_OK,2026-03-16 21:56:53.197794
LOG600097,ledger-svc,WARN,CACHE_MISS,2026-04-10 20:01:16.113822
LOG600098,kyc-service,ERROR,UPSTREAM_TIMEOUT,2026-03-06 08:33:30.069386
LOG600099,auth-service,INFO,CACHE_HIT,2026-02-21 10:45:11.433553
LOG600100,payments-api,INFO,CACHE_HIT,2026-05-01 04:29:55.131919
LOG600101,payments-api,INFO,APP_START,2026-07-26 11:02:23.913849
LOG600102,kyc-service,INFO,CACHE_HIT,2026-04-29 06:02:08.523007
LOG600103,ledger-svc,INFO,APP_START,2026-04-06 13:19:12.011728
LOG600104,notification-svc,WARN,RETRY_ATTEMPT,2026-03-04 04:41:33.109254
LOG600105,ledger-svc,INFO,REQUEST_OK,2026-02-23 18:58:26.568780
LOG600106,notification-svc,INFO,REQUEST_OK,2026-02-21 16:42:30.383727
LOG600107,ledger-svc,INFO,REQUEST_OK,2026-05-22 23:35:13.645317
LOG600108,kyc-service,INFO,CACHE_HIT,2026-03-02 12:53:41.978708
LOG600109,ledger-svc,ERROR,NPE,2026-08-06 21:23:05.403778
LOG600110,notification-svc,INFO,CACHE_HIT,2026-07-29 07:29:18.967649
LOG600111,ledger-svc,WARN,RETRY_ATTEMPT,2026-03-29 09:41:31.587094
LOG600112,auth-service,ERROR,NPE,2026-05-11 03:16:22.022917
LOG600113,kyc-service,INFO,CACHE_HIT,2026-05-01 09:44:58.274047
LOG600114,notification-svc,INFO,CACHE_HIT,2026-06-19 07:13:55.179190
LOG600115,notification-svc,INFO,CACHE_HIT,2026-06-20 16:12:35.555725
LOG600116,auth-service,INFO,APP_START,2026-06-09 14:09:31.597068
LOG600117,notification-svc,INFO,APP_START,2026-05-07 07:15:05.917366
LOG600118,ledger-svc,ERROR,DB_CONN_FAILURE,2026-06-18 09:19:47.994060
LOG600119,kyc-service,ERROR,TIMEOUT,2026-06-06 18:10:02.058822
LOG600120,payments-api,INFO,REQUEST_OK,2026-04-13 10:40:57.463470
LOG600121,auth-service,INFO,CACHE_HIT,2026-05-06 01:15:02.233391
LOG600122,ledger-svc,INFO,REQUEST_OK,2026-02-21 12:42:38.663412
LOG600123,notification-svc,INFO,REQUEST_OK,2026-08-05 08:23:00.739782
LOG600124,core-banking,INFO,REQUEST_OK,2026-07-17 22:29:31.724186
LOG600125,core-banking,INFO,APP_START,2026-08-02 12:18:34.707933
LOG600126,notification-svc,INFO,REQUEST_OK,2026-07-06 13:10:57.502578
LOG600127,ledger-svc,INFO,APP_START,2026-04-11 11:13:35.450915
LOG600128,payments-api,INFO,APP_START,2026-03-10 13:31:17.404749
LOG600129,kyc-service,INFO,CACHE_HIT,2026-04-21 22:40:09.302804
LOG600130,auth-service,ERROR,DB_CONN_FAILURE,2026-08-17 06:37:24.185459
LOG600131,auth-service,WARN,SLOW_QUERY,2026-06-14 00:22:22.124130
LOG600132,ledger-svc,INFO,APP_START,2026-05-20 23:39:32.414571
LOG600133,auth-service,INFO,APP_START,2026-05-01 08:46:34.761895
LOG600134,notification-svc,INFO,CACHE_HIT,2026-07-27 19:54:14.603975
LOG600135,auth-service,INFO,APP_START,2026-07-13 21:15:28.557479
LOG600136,ledger-svc,INFO,REQUEST_OK,2026-03-12 11:08:44.795137
LOG600137,payments-api,WARN,SLOW_QUERY,2026-06-18 22:00:48.976365
LOG600138,ledger-svc,WARN,CACHE_MISS,2026-04-06 04:17:35.040543
LOG600139,auth-service,WARN,CACHE_MISS,2026-08-11 15:05:02.644558
LOG600140,core-banking,INFO,CACHE_HIT,2026-07-21 12:40:04.664818
LOG600141,notification-svc,INFO,APP_START,2026-05-10 18:42:20.942123
LOG600142,payments-api,INFO,CACHE_HIT,2026-03-04 09:39:47.566574
LOG600143,kyc-service,INFO,CACHE_HIT,2026-07-06 03:29:49.055257
LOG600144,ledger-svc,INFO,REQUEST_OK,2026-08-03 13:17:40.327755
LOG600145,core-banking,INFO,APP_START,2026-04-22 21:21:20.260825
LOG600146,notification-svc,INFO,REQUEST_OK,2026-04-30 03:26:58.982071
LOG600147,ledger-svc,INFO,CACHE_HIT,2026-05-07 10:48:15.175254
LOG600148,kyc-service,INFO,CACHE_HIT,2026-03-16 03:53:47.320367
LOG600149,ledger-svc,INFO,CACHE_HIT,2026-07-12 12:49:04.655572
LOG600150,notification-svc,WARN,RETRY_ATTEMPT,2026-08-07 14:27:52.039598
LOG600151,notification-svc,INFO,APP_START,2026-06-10 04:12:21.423037
LOG600152,auth-service,INFO,APP_START,2026-05-08 09:11:54.082342
LOG600153,notification-svc,INFO,REQUEST_OK,2026-04-21 14:04:47.264008
LOG600154,ledger-svc,INFO,CACHE_HIT,2026-06-01 00:01:43.912076
LOG600155,ledger-svc,INFO,APP_START,2026-08-18 08:43:33.271635
LOG600156,kyc-service,INFO,CACHE_HIT,2026-07-28 14:21:58.529977
LOG600157,core-banking,ERROR,AUTH_FAILURE,2026-03-18 05:17:01.661185
LOG600158,ledger-svc,INFO,CACHE_HIT,2026-04-10 00:05:30.859688
LOG600159,core-banking,INFO,REQUEST_OK,2026-04-12 10:51:27.282010
LOG600160,payments-api,INFO,APP_START,2026-03-15 21:08:47.676998
LOG600161,notification-svc,WARN,CACHE_MISS,2026-03-22 23:45:01.030528
LOG600162,ledger-svc,INFO,CACHE_HIT,2026-06-30 19:24:39.344557
LOG600163,payments-api,INFO,APP_START,2026-02-26 07:35:55.243922
LOG600164,ledger-svc,WARN,SLOW_QUERY,2026-07-15 02:27:02.865909
LOG600165,ledger-svc,INFO,CACHE_HIT,2026-06-23 15:54:22.366685
LOG600166,ledger-svc,INFO,CACHE_HIT,2026-08-12 11:42:18.564881
LOG600167,core-banking,INFO,CACHE_HIT,2026-03-17 19:28:04.769337
LOG600168,core-banking,INFO,CACHE_HIT,2026-02-26 14:18:34.576086
LOG600169,auth-service,WARN,SLOW_QUERY,2026-02-28 00:14:59.481517
LOG600170,core-banking,INFO,CACHE_HIT,2026-03-01 19:00:46.332952
LOG600171,ledger-svc,WARN,RETRY_ATTEMPT,2026-03-16 03:40:48.938433
LOG600172,payments-api,INFO,REQUEST_OK,2026-04-12 21:52:28.052323
LOG600173,payments-api,INFO,APP_START,2026-03-24 12:43:03.658707
LOG600174,auth-service,ERROR,NPE,2026-03-25 15:20:37.997169
LOG600175,auth-service,INFO,APP_START,2026-04-19 03:25:37.066914
LOG600176,auth-service,INFO,REQUEST_OK,2026-04-17 20:59:23.058631
LOG600177,payments-api,INFO,REQUEST_OK,2026-08-03 20:09:10.977849
LOG600178,kyc-service,INFO,REQUEST_OK,2026-05-02 14:24:09.420199
LOG600179,notification-svc,INFO,CACHE_HIT,2026-05-21 02:26:43.119219
LOG600180,core-banking,ERROR,TIMEOUT,2026-02-21 23:51:12.023082
LOG600181,core-banking,INFO,CACHE_HIT,2026-05-18 09:02:22.572969
LOG600182,ledger-svc,INFO,REQUEST_OK,2026-06-29 12:56:17.750463
LOG600183,ledger-svc,INFO,CACHE_HIT,2026-07-04 22:46:36.342502
LOG600184,core-banking,ERROR,AUTH_FAILURE,2026-08-12 14:41:36.663696
LOG600185,kyc-service,INFO,REQUEST_OK,2026-05-14 13:35:57.429281
LOG600186,auth-service,INFO,CACHE_HIT,2026-03-08 07:07:18.544736
LOG600187,ledger-svc,INFO,CACHE_HIT,2026-08-04 01:07:37.960574
LOG600188,kyc-service,INFO,CACHE_HIT,2026-06-21 04:16:17.102933
LOG600189,kyc-service,INFO,CACHE_HIT,2026-04-09 10:30:12.495732
LOG600190,auth-service,INFO,REQUEST_OK,2026-03-06 11:24:49.097742
LOG600191,notification-svc,WARN,RETRY_ATTEMPT,2026-07-09 22:58:51.570264
LOG600192,kyc-service,INFO,APP_START,2026-06-23 17:36:34.414240
LOG600193,kyc-service,INFO,REQUEST_OK,2026-03-02 22:58:25.848545
LOG600194,core-banking,INFO,APP_START,2026-06-15 16:31:01.144061
LOG600195,kyc-service,INFO,CACHE_HIT,2026-06-09 01:40:52.057740
LOG600196,core-banking,INFO,APP_START,2026-03-26 05:45:20.375629
LOG600197,core-banking,INFO,CACHE_HIT,2026-07-24 06:45:46.201842
LOG600198,notification-svc,WARN,CACHE_MISS,2026-03-13 07:43:12.924026
LOG600199,notification-svc,INFO,REQUEST_OK,2026-02-27 22:37:21.145265
LOG600200,kyc-service,INFO,REQUEST_OK,2026-06-06 19:17:10.498039
LOG600201,notification-svc,INFO,CACHE_HIT,2026-04-11 11:43:48.104818
LOG600202,ledger-svc,WARN,SLOW_QUERY,2026-07-14 05:33:54.209911
LOG600203,payments-api,ERROR,UPSTREAM_TIMEOUT,2026-08-02 11:16:31.294322
LOG600204,core-banking,INFO,CACHE_HIT,2026-07-29 08:09:54.992238
LOG600205,ledger-svc,INFO,REQUEST_OK,2026-04-10 21:55:53.499225
LOG600206,ledger-svc,WARN,SLOW_QUERY,2026-07-28 01:19:48.748560
LOG600207,auth-service,INFO,REQUEST_OK,2026-05-01 03:09:27.665275
LOG600208,payments-api,INFO,APP_START,2026-05-30 20:31:37.044201
LOG600209,core-banking,INFO,REQUEST_OK,2026-04-13 05:54:27.012971
LOG600210,core-banking,INFO,REQUEST_OK,2026-07-23 02:22:42.003184
LOG600211,auth-service,INFO,CACHE_HIT,2026-06-07 04:35:13.376326
LOG600212,core-banking,INFO,REQUEST_OK,2026-05-19 15:19:53.124398
LOG600213,ledger-svc,INFO,REQUEST_OK,2026-05-02 09:48:36.718232
LOG600214,ledger-svc,WARN,RETRY_ATTEMPT,2026-06-22 15:10:12.139996
LOG600215,notification-svc,WARN,SLOW_QUERY,2026-03-02 08:46:16.040324
LOG600216,kyc-service,WARN,RETRY_ATTEMPT,2026-07-16 22:43:00.871127
LOG600217,payments-api,INFO,CACHE_HIT,2026-07-12 10:17:43.860395
LOG600218,notification-svc,WARN,SLOW_QUERY,2026-07-20 06:09:48.231848
LOG600219,core-banking,INFO,REQUEST_OK,2026-06-29 20:02:07.257210
LOG600220,ledger-svc,INFO,APP_START,2026-04-24 11:42:03.807140
LOG600221,notification-svc,INFO,APP_START,2026-03-02 04:18:20.096016
LOG600222,kyc-service,INFO,APP_START,2026-04-01 00:04:12.180647
LOG600223,kyc-service,INFO,CACHE_HIT,2026-03-03 20:12:43.841408
LOG600224,kyc-service,INFO,REQUEST_OK,2026-08-06 10:12:45.074951
LOG600225,notification-svc,INFO,APP_START,2026-07-10 15:35:03.468974
LOG600226,payments-api,INFO,REQUEST_OK,2026-05-04 18:47:14.401697
LOG600227,ledger-svc,INFO,REQUEST_OK,2026-06-16 07:22:59.545374
LOG600228,payments-api,INFO,CACHE_HIT,2026-05-20 08:26:41.941888
LOG600229,notification-svc,INFO,REQUEST_OK,2026-05-05 01:10:26.561931
LOG600230,core-banking,INFO,APP_START,2026-07-04 22:24:49.469555
LOG600231,auth-service,ERROR,NPE,2026-03-07 00:04:14.083108
LOG600232,kyc-service,INFO,CACHE_HIT,2026-04-27 13:03:43.703222
LOG600233,payments-api,INFO,CACHE_HIT,2026-06-29 15:20:20.465416
LOG600234,core-banking,INFO,APP_START,2026-05-17 00:16:22.402448
LOG600235,payments-api,INFO,CACHE_HIT,2026-03-22 18:45:12.891109
LOG600236,ledger-svc,INFO,REQUEST_OK,2026-05-22 08:57:28.260141
LOG600237,payments-api,ERROR,TIMEOUT,2026-05-12 22:43:36.666797
LOG600238,core-banking,WARN,RETRY_ATTEMPT,2026-08-18 12:28:53.725029
LOG600239,notification-svc,INFO,CACHE_HIT,2026-02-21 07:22:52.633765
LOG600240,kyc-service,INFO,REQUEST_OK,2026-04-25 04:47:31.457643
LOG600241,kyc-service,INFO,APP_START,2026-03-22 02:44:19.375676
LOG600242,payments-api,INFO,CACHE_HIT,2026-07-06 08:54:35.020717
LOG600243,core-banking,INFO,REQUEST_OK,2026-07-05 07:59:57.174256
LOG600244,core-banking,INFO,APP_START,2026-07-11 09:17:27.951717
LOG600245,auth-service,INFO,CACHE_HIT,2026-04-11 23:20:04.838420
LOG600246,ledger-svc,ERROR,AUTH_FAILURE,2026-05-19 06:23:20.227247
LOG600247,auth-service,INFO,CACHE_HIT,2026-02-26 11:53:00.700283
LOG600248,auth-service,INFO,REQUEST_OK,2026-05-20 02:59:46.719068
LOG600249,ledger-svc,INFO,CACHE_HIT,2026-05-04 17:10:08.303711
LOG600250,core-banking,INFO,CACHE_HIT,2026-06-18 12:13:28.610009
LOG600251,ledger-svc,INFO,CACHE_HIT,2026-04-28 13:12:26.204577
LOG600252,payments-api,INFO,REQUEST_OK,2026-06-25 15:21:16.163672
LOG600253,kyc-service,WARN,CACHE_MISS,2026-04-26 00:53:27.011776
LOG600254,core-banking,WARN,SLOW_QUERY,2026-06-15 17:59:31.753469
LOG600255,payments-api,INFO,REQUEST_OK,2026-04-24 00:55:14.689056
LOG600256,notification-svc,ERROR,AUTH_FAILURE,2026-07-08 00:40:04.631965
LOG600257,auth-service,ERROR,AUTH_FAILURE,2026-05-08 17:23:44.163580
LOG600258,ledger-svc,INFO,CACHE_HIT,2026-04-16 03:43:48.881774
LOG600259,notification-svc,INFO,REQUEST_OK,2026-04-05 01:49:54.293089
LOG600260,auth-service,INFO,APP_START,2026-04-20 21:40:12.418379
LOG600261,notification-svc,INFO,CACHE_HIT,2026-08-19 04:35:32.537896
LOG600262,notification-svc,INFO,CACHE_HIT,2026-05-20 07:47:01.105934
LOG600263,kyc-service,ERROR,NPE,2026-07-03 22:41:36.329711
LOG600264,ledger-svc,WARN,RETRY_ATTEMPT,2026-04-28 08:19:23.023162
LOG600265,kyc-service,WARN,SLOW_QUERY,2026-04-24 13:14:32.503393
LOG600266,ledger-svc,INFO,APP_START,2026-06-26 11:29:30.985658
LOG600267,notification-svc,INFO,REQUEST_OK,2026-06-02 17:09:13.892241
LOG600268,payments-api,INFO,REQUEST_OK,2026-05-14 20:43:04.557139
LOG600269,ledger-svc,INFO,REQUEST_OK,2026-05-20 13:40:53.276399
LOG600270,notification-svc,INFO,CACHE_HIT,2026-06-10 17:23:59.104253
LOG600271,payments-api,INFO,CACHE_HIT,2026-06-15 18:57:06.339816
LOG600272,ledger-svc,INFO,REQUEST_OK,2026-04-16 11:39:21.627976
LOG600273,ledger-svc,INFO,CACHE_HIT,2026-07-18 16:10:06.039103
LOG600274,kyc-service,INFO,REQUEST_OK,2026-03-30 23:58:37.737440
LOG600275,notification-svc,WARN,SLOW_QUERY,2026-05-09 05:41:42.030018
LOG600276,notification-svc,INFO,APP_START,2026-08-13 12:52:14.781020
LOG600277,auth-service,INFO,REQUEST_OK,2026-02-25 00:01:40.352356
LOG600278,ledger-svc,INFO,APP_START,2026-06-14 07:39:33.806117
LOG600279,auth-service,INFO,REQUEST_OK,2026-06-24 10:26:29.528005
LOG600280,ledger-svc,INFO,REQUEST_OK,2026-05-08 21:06:33.716014
LOG600281,kyc-service,WARN,RETRY_ATTEMPT,2026-06-15 23:17:36.993180
LOG600282,core-banking,WARN,SLOW_QUERY,2026-06-06 14:48:43.209631
LOG600283,payments-api,INFO,CACHE_HIT,2026-05-28 03:20:52.969244
LOG600284,ledger-svc,INFO,REQUEST_OK,2026-06-02 16:02:00.214627
LOG600285,notification-svc,INFO,APP_START,2026-05-24 11:47:23.714739
LOG600286,ledger-svc,INFO,REQUEST_OK,2026-07-07 00:22:29.333918
LOG600287,payments-api,INFO,CACHE_HIT,2026-04-27 11:50:43.957138
LOG600288,payments-api,INFO,CACHE_HIT,2026-07-07 05:09:10.551445
LOG600289,auth-service,INFO,APP_START,2026-08-03 10:10:03.176057
LOG600290,kyc-service,INFO,REQUEST_OK,2026-08-08 16:47:17.504333
LOG600291,auth-service,INFO,CACHE_HIT,2026-07-04 16:58:20.439496
LOG600292,auth-service,INFO,REQUEST_OK,2026-08-04 22:31:33.129624
LOG600293,kyc-service,INFO,APP_START,2026-05-15 12:41:16.765495
LOG600294,core-banking,INFO,APP_START,2026-08-17 10:49:02.943918
LOG600295,kyc-service,INFO,APP_START,2026-04-03 23:10:58.030734
LOG600296,payments-api,INFO,REQUEST_OK,2026-03-26 10:59:19.370512
LOG600297,ledger-svc,INFO,CACHE_HIT,2026-06-30 04:47:25.907843
LOG600298,notification-svc,INFO,REQUEST_OK,2026-04-05 20:57:13.172255
LOG600299,notification-svc,WARN,SLOW_QUERY,2026-04-10 16:18:18.702147
LOG600300,auth-service,INFO,APP_START,2026-06-02 05:37:42.439991
LOG600301,payments-api,ERROR,NPE,2026-04-12 18:21:29.164375
LOG600302,ledger-svc,INFO,CACHE_HIT,2026-04-24 14:26:43.675947
LOG600303,kyc-service,INFO,APP_START,2026-04-07 23:17:52.119270
LOG600304,notification-svc,INFO,REQUEST_OK,2026-04-14 04:05:39.758267
LOG600305,kyc-service,ERROR,TIMEOUT,2026-06-03 16:52:44.678485
LOG600306,notification-svc,INFO,CACHE_HIT,2026-07-15 12:41:38.530379
LOG600307,core-banking,INFO,REQUEST_OK,2026-05-06 21:29:13.329711
LOG600308,kyc-service,INFO,CACHE_HIT,2026-06-09 13:16:12.401505
LOG600309,kyc-service,INFO,APP_START,2026-05-29 23:00:18.777764
LOG600310,payments-api,INFO,APP_START,2026-07-18 09:04:23.899574
LOG600311,core-banking,INFO,REQUEST_OK,2026-06-07 19:08:48.510245
LOG600312,core-banking,WARN,RETRY_ATTEMPT,2026-08-17 23:02:25.980981
LOG600313,notification-svc,INFO,APP_START,2026-03-27 22:42:30.926146
LOG600314,auth-service,WARN,RETRY_ATTEMPT,2026-06-10 18:54:14.208468
LOG600315,auth-service,INFO,APP_START,2026-05-01 23:18:01.541883
LOG600316,core-banking,WARN,CACHE_MISS,2026-07-22 19:13:12.300862
LOG600317,auth-service,WARN,RETRY_ATTEMPT,2026-03-22 20:01:08.643886
LOG600318,ledger-svc,INFO,CACHE_HIT,2026-05-13 15:37:19.544357
LOG600319,notification-svc,INFO,APP_START,2026-03-30 23:28:29.660037
LOG600320,kyc-service,INFO,CACHE_HIT,2026-04-28 17:22:35.269284
LOG600321,auth-service,INFO,APP_START,2026-04-26 15:07:20.278715
LOG600322,auth-service,INFO,REQUEST_OK,2026-04-28 16:50:37.270997
LOG600323,kyc-service,INFO,CACHE_HIT,2026-04-05 00:14:35.687419
LOG600324,notification-svc,INFO,CACHE_HIT,2026-08-04 17:29:39.227411
LOG600325,payments-api,INFO,CACHE_HIT,2026-08-09 02:52:36.356190
LOG600326,kyc-service,INFO,REQUEST_OK,2026-02-26 01:28:00.871445
LOG600327,kyc-service,INFO,REQUEST_OK,2026-03-06 21:18:24.436595
LOG600328,core-banking,INFO,CACHE_HIT,2026-04-08 13:28:48.466612
LOG600329,payments-api,INFO,REQUEST_OK,2026-05-04 19:41:18.006369
LOG600330,payments-api,INFO,REQUEST_OK,2026-03-12 15:21:59.675179
LOG600331,notification-svc,INFO,REQUEST_OK,2026-05-06 23:43:05.242076
LOG600332,ledger-svc,WARN,CACHE_MISS,2026-03-09 23:42:45.166331
LOG600333,payments-api,INFO,APP_START,2026-05-27 08:32:55.405054
LOG600334,payments-api,INFO,APP_START,2026-08-18 07:12:08.837466
LOG600335,auth-service,INFO,APP_START,2026-03-31 16:32:40.805276
LOG600336,auth-service,INFO,REQUEST_OK,2026-06-22 05:53:02.933066
LOG600337,kyc-service,INFO,APP_START,2026-08-06 07:32:56.601081
LOG600338,auth-service,INFO,APP_START,2026-04-17 02:06:47.235089
LOG600339,ledger-svc,INFO,CACHE_HIT,2026-05-24 22:49:15.670932
LOG600340,payments-api,INFO,CACHE_HIT,2026-07-31 21:30:16.063390
LOG600341,core-banking,INFO,CACHE_HIT,2026-05-12 12:52:16.526167
LOG600342,notification-svc,INFO,CACHE_HIT,2026-04-08 23:29:12.952965
LOG600343,auth-service,INFO,REQUEST_OK,2026-05-13 17:06:11.130954
LOG600344,core-banking,INFO,CACHE_HIT,2026-03-29 17:19:22.702913
LOG600345,auth-service,INFO,REQUEST_OK,2026-08-05 12:04:06.888540
LOG600346,notification-svc,WARN,RETRY_ATTEMPT,2026-04-23 20:49:38.392148
